,name,link
223,ALMINDO PRABAWA INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/21296?jp=7
224,ALNGIT RAYA,https://modi.esdm.go.id/portal/detailPerusahaan/316?jp=1
225,ALODIA HASTA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/21520?jp=7
226,ALOMA WANGI,https://modi.esdm.go.id/portal/detailPerusahaan/317?jp=1
227,ALOR TAMBANG INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/16684?jp=7
228,ALPHA ENERGY VENTURE,https://modi.esdm.go.id/portal/detailPerusahaan/20246?jp=7
229,ALPHA OCTA RESOURCES,https://modi.esdm.go.id/portal/detailPerusahaan/17652?jp=7
230,ALPHA OMEGA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/21915?jp=1
231,ALQAISAR JAYA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/20406?jp=1
232,ALRANA INVESTAMA GROUP,https://modi.esdm.go.id/portal/detailPerusahaan/20903?jp=7
233,ALSERA LOGINDO INDUSTRI,https://modi.esdm.go.id/portal/detailPerusahaan/18512?jp=7
234,ALTAEDIN TIJARA ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/16733?jp=7
235,ALTHA MODA SENDAWAR,https://modi.esdm.go.id/portal/detailPerusahaan/325?jp=1
236,ALUNA KUSUMAH LESTARI,https://modi.esdm.go.id/portal/detailPerusahaan/10121?jp=7
237,ALUR JAYA INDAH,https://modi.esdm.go.id/portal/detailPerusahaan/16970?jp=7
238,ALUR MENTAYA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/20725?jp=9
239,ALVARO SAMUDERA JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/20823?jp=7
240,ALVINDO MINING RESOURCE,https://modi.esdm.go.id/portal/detailPerusahaan/13683?jp=1
241,AL YAMIN,https://modi.esdm.go.id/portal/detailPerusahaan/11398?jp=1
242,ALZIKRA WALY BERSAUDARA,https://modi.esdm.go.id/portal/detailPerusahaan/20811?jp=7
243,AMALIA RESOURCES INDOMAKMUR,https://modi.esdm.go.id/portal/detailPerusahaan/17718?jp=7
244,AMANAH ANUGERAH ADI MULIA,https://modi.esdm.go.id/portal/detailPerusahaan/339?jp=1
245,AMANAH BATU ALAM PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/14684?jp=1
246,AMANAH BUMI MITRA MINING,https://modi.esdm.go.id/portal/detailPerusahaan/17617?jp=7
247,AMANAH COAL KALIMANTAN,https://modi.esdm.go.id/portal/detailPerusahaan/19340?jp=7
248,AMANAH INTI RESOURCES,https://modi.esdm.go.id/portal/detailPerusahaan/19264?jp=7
249,AMANAH LIMA BINTANG,https://modi.esdm.go.id/portal/detailPerusahaan/15563?jp=7
250,AMANAH MINERAL INTERNASIONAL,https://modi.esdm.go.id/portal/detailPerusahaan/22156?jp=7
251,AMANAH MITRA BATUBARA,https://modi.esdm.go.id/portal/detailPerusahaan/17930?jp=7
252,AMANAH PERKASA BERDIKARI,https://modi.esdm.go.id/portal/detailPerusahaan/19691?jp=7
253,AMANAH PUNJUNG BAHAGIA,https://modi.esdm.go.id/portal/detailPerusahaan/9316?jp=1
254,AMANAH PUTRA BORNEO,https://modi.esdm.go.id/portal/detailPerusahaan/8279?jp=1
255,AMANAH WIRA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/10042?jp=7
256,AMANAT SEPUH LESTARI,https://modi.esdm.go.id/portal/detailPerusahaan/21963?jp=1
257,AMAN BLACKGOLD INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/13372?jp=7
258,AMAN DELAPAN DELAPAN,https://modi.esdm.go.id/portal/detailPerusahaan/20436?jp=7
259,AMAN MAKMUR SEJAHTERA BERSINERGI,https://modi.esdm.go.id/portal/detailPerusahaan/14624?jp=7
260,AMARA RESOURCES INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/22106?jp=7
261,AMARSHA,https://modi.esdm.go.id/portal/detailPerusahaan/20410?jp=1
262,AMARTA TEKNIK INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/349?jp=1
263,AMARTHA BARA NUSANTARA,https://modi.esdm.go.id/portal/detailPerusahaan/21890?jp=7
264,AMARTHA BUMI SENTOSA,https://modi.esdm.go.id/portal/detailPerusahaan/21630?jp=7
265,AMARTHA JAYA BERSAMA,https://modi.esdm.go.id/portal/detailPerusahaan/16020?jp=7
266,AMAS MUDA SIREGAR,https://modi.esdm.go.id/portal/detailPerusahaan/14746?jp=1
267,AMBAR PUTRA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/17338?jp=7
268,AMBHARAKARYA PERDANA,https://modi.esdm.go.id/portal/detailPerusahaan/10170?jp=7
269,AMBUNG BAKUL MUTIARA,https://modi.esdm.go.id/portal/detailPerusahaan/20606?jp=9
270,AMEL LIA GROUP,https://modi.esdm.go.id/portal/detailPerusahaan/21773?jp=7
271,AMERTA GLOBAL SILICA,https://modi.esdm.go.id/portal/detailPerusahaan/21975?jp=1
272,AMERTA JAYA USAHANIAGA,https://modi.esdm.go.id/portal/detailPerusahaan/14332?jp=7
273,AMERTA MINERAL NIAGA,https://modi.esdm.go.id/portal/detailPerusahaan/18557?jp=7
274,AMERTHA HIMAWAN MINERAL,https://modi.esdm.go.id/portal/detailPerusahaan/19610?jp=7
275,AMERTHA SAMUDERA ABHIPRAYA,https://modi.esdm.go.id/portal/detailPerusahaan/21627?jp=7
