,longitude,latitude,id,potential,commodity,group,location,city,province,object_name,total_reserve,total_resource,unit,year_measured
51,137.139054,-4.07923,TndkNGJJNUF4eWI2SXFqc1pJVDEyUT09,Mineral Logam,Tembaga,Logam Dasar,DOZ Block Cave,Puncak Jaya,Papua,Tembaga DOZ Block Cave,222441294.5471,8000000.0,Ton,2022
52,137.142861,-4.082942,cFlYVkVlT3lGWmNvTGNGOE1oOE1FQT09,Mineral Logam,Tembaga,Logam Dasar,Mill Level Zone Deep Block Cave,Puncak Jaya,Papua,Tembaga Mill Level Zone Deep Block Cave,693531603.576,439000000.0,Ton,2022
53,137.134,-4.087,UmM3UzlvSFJZd2loY1lsZGhQSDVmdz09,Mineral Logam,Tembaga,Logam Dasar,DOM block cave,Puncak Jaya,Papua,Tembaga DOM block cave,0.0,0.0,Ton,2022
54,137.135,-4.087,VDNIQU40a0hXcGRGYWtwSitPbERNZz09,Mineral Logam,Tembaga,Logam Dasar,DOM block cave overdraw,Puncak Jaya,Papua,Tembaga DOM block cave overdraw,0.0,0.0,Ton,2022
55,137.136,-4.087,ZEkzVnNFT09KaHNsYUNtNUJUUHBHZz09,Mineral Logam,Tembaga,Logam Dasar,DOM open pit,Puncak Jaya,Papua,Tembaga DOM open pit,61601000.0,0.0,Ton,2022
56,136.883,-4.661,UnowTVVpV1RSdExvVGt2Q0NxWjRYdz09,Mineral Logam,Tembaga,Logam Dasar,DOM open pit lower grade,Mimika,Papua,Tembaga DOM open pit lower grade,0.0,0.0,Ton,2022
57,136.937,-4.718,NENsMHFMVW1pWTh4d2loSE5MWER2dz09,Mineral Logam,Tembaga,Logam Dasar,Timika,Mimika,Papua,Tembaga Timika,509640000.0,0.0,Ton,2022
58,126.326356,-7.710966,cy9DbHZsVXV5Tzd4YnJja1NPNU5kdz09,Mineral Logam,Tembaga,Logam Dasar,Kali Kuning,Maluku Barat Daya,Maluku,Tembaga Kali Kuning,753112.0,623211.0,Ton,2022
59,127.366,-7.627,WjVMOFd4SlF1M3V1ZWxGMk9PN0dBQT09,Mineral Logam,Tembaga,Logam Dasar,Lakuwahi (Polymetallic),Maluku Barat Daya,Maluku,Tembaga Lakuwahi (Polymetallic),81600000.0,0.0,Ton,2022
60,126.293241,-7.723657,eCtLeTN1ZU0wT240N3pDdUdaeXhrUT09,Mineral Logam,Tembaga,Logam Dasar,Lerokis,Maluku Barat Daya,Maluku,Tembaga Lerokis,2920000.0,2794341.0,Ton,2022
61,117.276,-8.86,dGxnZ1hUNVFndzI3WnZDbnZ6QUU4Zz09,Mineral Logam,Tembaga,Logam Dasar,Elang,Sumbawa,Nusa Tenggara Barat,Tembaga Elang,3096000000.0,0.0,Ton,2022
62,113.4,-0.625,cHh6dmk3bTV2eWp0QWp2TEwxS2lSZz09,Mineral Logam,Tembaga,Logam Dasar,Beruang Kanan Main Zone,Gunung Mas,Kalimantan Tengah,Tembaga Beruang Kanan Main Zone,66900000.0,27767000.0,Ton,2022
63,110.875,-7.81,TExGRW95UlRxa2cwSEo2NDZoUHlGUT09,Mineral Logam,Tembaga,Logam Dasar,Randu Kuning,Wonogiri,Jawa Tengah,Tembaga Randu Kuning,81560000.0,0.0,Ton,2022
64,118.483,-8.834,QU9uNVpxWjh1d1VsVlZyZ1ZRZ1pwUT09,Mineral Logam,Tembaga,Logam Dasar,Onto,Bima,Nusa Tenggara Barat,Tembaga Humpaleu East,1720000000.0,0.0,Ton,2022
65,113.47,-0.496,UzQ3bU0yMEhyMVc4Q3BGdVZLdHcyZz09,Mineral Logam,Tembaga,Logam Dasar,Waterfall,Gunung Mas,Kalimantan Tengah,Tembaga Waterfall,9898000.0,0.0,Ton,2022
66,113.477,-0.501,Ull3TTNnNHdqMTZlZ1FzLzdGUjVWQT09,Mineral Logam,Tembaga,Logam Dasar,Tokatoi,Gunung Mas,Kalimantan Tengah,Tembaga Tokatoi,3560000.0,0.0,Ton,2022
67,113.436,-0.628,bzhQRmtxVHlYbUJBTlI2WE9TVm41dz09,Mineral Logam,Tembaga,Logam Dasar,Beruang Tengah,Gunung Mas,Kalimantan Tengah,Tembaga Beruang Tengah,2800000000.0,0.0,Ton,2022
68,113.255,-0.728,ZjlMRmZKUjhKVXNYbnpVb2dKWkNwUT09,Mineral Logam,Tembaga,Logam Dasar,Huoi,Gunung Mas,Kalimantan Tengah,Tembaga Huoi,7460000.0,0.0,Ton,2022
69,113.22,-0.512,S1U0cnRxaGN0SEQ5TFNkazcvK0JTZz09,Mineral Logam,Tembaga,Logam Dasar,Mansur,Gunung Mas,Kalimantan Tengah,Tembaga Mansur,3970000.0,0.0,Ton,2022
70,100.647,-0.853,a2wzUkdrWWRFNXdkdGxUMlNYZmdJQT09,Mineral Logam,Tembaga,Logam Dasar,Kampuang Baru,Solok,Sumatera Barat,Tembaga Kampuang Baru,79312000.0,0.0,Ton,2022
71,100.684,-0.611,YlNmcmNaWkc1STQzM2xoN2RLMThlQT09,Mineral Logam,Tembaga,Logam Dasar,Sibarambang,Solok,Sumatera Barat,Tembaga Sibarambang,2335148.0,0.0,Ton,2022
72,114.039,-8.613,WnYwTGwzYnZXZU9jY2thZVg1YVhNdz09,Mineral Logam,Tembaga,Logam Dasar,Tumpangpitu (Porfiri),Banyuwangi,Jawa Timur,Tembaga Tumpangpitu (Porfiri),1784100000.0,11135000.0,Ton,2022
73,107.555,-7.369,a2lnRnBQeXZVMW5HaFRCTWtDRUE0Zz09,Mineral Logam,Tembaga,Logam Dasar,Cijulang,Garut,Jawa Barat,Tembaga Cijulang,0.0,0.0,Ton,2022
74,96.569,4.478,eldyREE0UVlIUnhCTkRQdFZyandiQT09,Mineral Logam,Tembaga,Logam Dasar,East and Outer East Porphyry (Beutong),Nagan Raya,Aceh,Tembaga East and Outer East Porphyry (Beutong),107200000.0,0.0,Ton,2022
75,108.14,-7.669,VHJ6NUd0Wng2cGxLR25TVjBuSHZaQT09,Mineral Logam,Tembaga,Logam Dasar,Cidadap,Tasikmalaya,Jawa Barat,Tembaga Cidadap,1754.0,0.0,Ton,2022
76,108.158,-7.69,QU1HQVhBakJDY2ZnVzF2L1VyMUVEUT09,Mineral Logam,Tembaga,Logam Dasar,Mandalajaya,Tasikmalaya,Jawa Barat,Tembaga Mandalajaya,1800000.0,0.0,Ton,2022
