,longitude,latitude,mineral_type,mineral_grade,institution,city,province,object_name,hypotherical_resource,inferred_resource,indicated_resource,measured_resource,total_resource,probable_reserve,proven_reserve,total_reserve,units,year_measured
,115.1683,-1.950845,Batubara,Rendah (< 5100),Swasta,Barito Timur,Kalimantan Tengah,Batubara Putuu Tawuluh,0,16.47,10.03,8.14,34.64,9.4,5.87,15.27,Juta Ton,2022
,115.151049,-1.978532,Batubara,Rendah (< 5100),Swasta,Barito Timur,Kalimantan Tengah,Batubara Patung,0,19.292,32.523,76.95,128.765,9.51,12.15,21.66,Juta Ton,2022
,113.630076,-1.3492,Batubara,Rendah (< 5100),Swasta,Gunung Mas,Kalimantan Tengah,Batubara Tumbang Kajuei,0,33,32,63,128,17,25.68,42.68,Juta Ton,2022
,113.609898,-1.346315,Batubara,Rendah (< 5100),Swasta,Gunung Mas,Kalimantan Tengah,Batubara Sungai Tihang,0,100.000611,23.540558,8.000046,131.541215,40.000246,0,40.000246,Juta Ton,2022
,114.997663,-1.032305,Batubara,Rendah (< 5100),Swasta,Barito Utara,Kalimantan Tengah,Batubara Kandui,0,49.345,42.505,208.922,300.772,17.716,12.008,29.724,Juta Ton,2022
,112.856418,-1.934503,Batubara,Rendah (< 5100),Swasta,Kotawaringin Timur,Kalimantan Tengah,Batubara Berunang Miri,0,15,138.8,0,153.8,17.78,0,17.78,Juta Ton,2022
,114.518452,-1.068914,Batubara,Rendah (< 5100),Swasta,Barito Utara,Kalimantan Tengah,Batubara Ruji,0,3.5,20.7,31.24,55.44,9.487,6.06,15.547,Juta Ton,2022
,115.037984,-3.198148,Batubara,Rendah (< 5100),Swasta,Banjar,Kalimantan Selatan,Batubara Keramat Mina,0,2.75,2.45,2.21,7.41,1.414,0.388,1.802,Juta Ton,2022
,115.225556,-2.932639,Batubara,Rendah (< 5100),Swasta,Tapin,Kalimantan Selatan,Batubara Bitahan Baru,0,0.7,23.03,106.724,130.454,3.267,59.537,62.804,Juta Ton,2022
,115.031283,-3.198412,Batubara,Rendah (< 5100),Swasta,Banjar,Kalimantan Selatan,Batubara Garis Hanyar 1,0,6.265,5.92,3.06,15.245,0,3.205,3.205,Juta Ton,2022
,116.027083,-3.240625,Batubara,Rendah (< 5100),Swasta,Kotabaru,Kalimantan Selatan,Batubara Kelumpang Hilir 2,0,4,32.11,15.365,51.475,9.596,8.588,18.184,Juta Ton,2022
,115.594244,-3.467316,Batubara,Rendah (< 5100),Swasta,Tanah Bumbu,Kalimantan Selatan,Batubara Mangkalapi 1,0,9.893,10.374,9.718,29.985,5.071,6.853,11.924,Juta Ton,2022
,115.038124,-3.212256,Batubara,Rendah (< 5100),Swasta,Banjar,Kalimantan Selatan,Batubara Keramat Mina 2,0,4.8,18.6,12.7,36.1,4.73,14.48,19.21,Juta Ton,2022
,115.102368,-3.106058,Batubara,Rendah (< 5100),Swasta,Tapin,Kalimantan Selatan,Batubara Pulau Pinang 1,0,10.73,13.27,14.89,38.89,9.35,8.43,17.78,Juta Ton,2022
,115.625618,-2.349375,Batubara,Rendah (< 5100),Swasta,Balangan,Kalimantan Selatan,Batubara Tawahan,0,3.4,27,104.39,134.79,5.14,53.85,58.99,Juta Ton,2022
